"source","parameter","value","rho_it","it","N"
"2_18_sim_GP_param.csv","mu_150",-1.14760606741679,2,18,9999
"2_18_sim_GP_param.csv","mu_300",2.55982464806001,2,18,9999
"2_18_sim_GP_param.csv","mu_500",-1.47186754594317,2,18,9999
"2_19_sim_GP_param.csv","alpha",4,2,19,9999
"2_19_sim_GP_param.csv","rho",0.1,2,19,9999
"2_19_sim_GP_param.csv","sigma",3,2,19,9999
"2_19_sim_GP_param.csv","mu_0",0.289301151474256,2,19,9999
"2_19_sim_GP_param.csv","mu_50",-2.46690500044076,2,19,9999
"2_19_sim_GP_param.csv","mu_150",1.51568143007982,2,19,9999
"2_19_sim_GP_param.csv","mu_300",6.44430849475376,2,19,9999
"2_19_sim_GP_param.csv","mu_500",-5.28889411186222,2,19,9999
"2_20_sim_GP_param.csv","alpha",4,2,20,9999
"2_20_sim_GP_param.csv","rho",0.1,2,20,9999
"2_20_sim_GP_param.csv","sigma",3,2,20,9999
"2_20_sim_GP_param.csv","mu_0",3.16216727336384,2,20,9999
"2_20_sim_GP_param.csv","mu_50",-0.00733913960554341,2,20,9999
"2_20_sim_GP_param.csv","mu_150",-4.45420015896547,2,20,9999
"2_20_sim_GP_param.csv","mu_300",-1.66158273774209,2,20,9999
"2_20_sim_GP_param.csv","mu_500",0.90608219741719,2,20,9999
"3_1_sim_GP_param.csv","alpha",4,3,1,9999
"3_1_sim_GP_param.csv","rho",0.25,3,1,9999
"3_1_sim_GP_param.csv","sigma",3,3,1,9999
"3_1_sim_GP_param.csv","mu_0",-2.48708036227192,3,1,9999
"3_1_sim_GP_param.csv","mu_50",-1.02262732285777,3,1,9999
"3_1_sim_GP_param.csv","mu_150",-4.05734562943773,3,1,9999
"3_1_sim_GP_param.csv","mu_300",-1.05349195138738,3,1,9999
"3_1_sim_GP_param.csv","mu_500",-3.74964937151448,3,1,9999
"3_2_sim_GP_param.csv","alpha",4,3,2,9999
"3_2_sim_GP_param.csv","rho",0.25,3,2,9999
"3_2_sim_GP_param.csv","sigma",3,3,2,9999
"3_2_sim_GP_param.csv","mu_0",-0.306702766388842,3,2,9999
"3_2_sim_GP_param.csv","mu_50",4.62105713025392,3,2,9999
"3_2_sim_GP_param.csv","mu_150",-2.36506585771902,3,2,9999
"3_2_sim_GP_param.csv","mu_300",-0.121225352738155,3,2,9999
"3_2_sim_GP_param.csv","mu_500",2.78371330591747,3,2,9999
"3_3_sim_GP_param.csv","alpha",4,3,3,9999
"3_3_sim_GP_param.csv","rho",0.25,3,3,9999
"3_3_sim_GP_param.csv","sigma",3,3,3,9999
"3_3_sim_GP_param.csv","mu_0",2.29589766962955,3,3,9999
"3_3_sim_GP_param.csv","mu_50",-3.7525672636363,3,3,9999
"3_3_sim_GP_param.csv","mu_150",-1.49973332145116,3,3,9999
"3_3_sim_GP_param.csv","mu_300",-2.18694305688314,3,3,9999
"3_3_sim_GP_param.csv","mu_500",-3.43937448244333,3,3,9999
"3_4_sim_GP_param.csv","alpha",4,3,4,9999
