"source","parameter","value","rho_it","it","N"
"12_13_est_GP_param.csv","mu[3]",-1.447093033,12,13,330
"12_13_est_GP_param.csv","mu[4]",-3.370251792,12,13,330
"12_13_est_GP_param.csv","mu[5]",1.943446152,12,13,330
"12_14_est_GP_param.csv","alpha",2.999597354,12,14,330
"12_14_est_GP_param.csv","rho",2.002301085,12,14,330
"12_14_est_GP_param.csv","sigma",3.085015953,12,14,330
"12_14_est_GP_param.csv","mu[1]",5.255665117,12,14,330
"12_14_est_GP_param.csv","mu[2]",-0.633823736,12,14,330
"12_14_est_GP_param.csv","mu[3]",-1.617241786,12,14,330
"12_14_est_GP_param.csv","mu[4]",2.745226108,12,14,330
"12_14_est_GP_param.csv","mu[5]",-3.025801272,12,14,330
"12_15_est_GP_param.csv","alpha",3.348241306,12,15,330
"12_15_est_GP_param.csv","rho",2.887407917,12,15,330
"12_15_est_GP_param.csv","sigma",2.835284251,12,15,330
"12_15_est_GP_param.csv","mu[1]",1.31528613,12,15,330
"12_15_est_GP_param.csv","mu[2]",3.886538311,12,15,330
"12_15_est_GP_param.csv","mu[3]",-2.984986377,12,15,330
"12_15_est_GP_param.csv","mu[4]",1.358025997,12,15,330
"12_15_est_GP_param.csv","mu[5]",-2.003524195,12,15,330
"12_16_est_GP_param.csv","alpha",3.805388088,12,16,330
"12_16_est_GP_param.csv","rho",2.536996285,12,16,330
"12_16_est_GP_param.csv","sigma",3.058967877,12,16,330
"12_16_est_GP_param.csv","mu[1]",-2.739511055,12,16,330
"12_16_est_GP_param.csv","mu[2]",4.679452912,12,16,330
"12_16_est_GP_param.csv","mu[3]",0.442076496,12,16,330
"12_16_est_GP_param.csv","mu[4]",5.546894073,12,16,330
"12_16_est_GP_param.csv","mu[5]",-0.105262083,12,16,330
"12_17_est_GP_param.csv","alpha",2.391457846,12,17,330
"12_17_est_GP_param.csv","rho",1.584849651,12,17,330
"12_17_est_GP_param.csv","sigma",3.011024939,12,17,330
"12_17_est_GP_param.csv","mu[1]",0.707384791,12,17,330
"12_17_est_GP_param.csv","mu[2]",-2.598519185,12,17,330
"12_17_est_GP_param.csv","mu[3]",-2.738760501,12,17,330
"12_17_est_GP_param.csv","mu[4]",0.206355352,12,17,330
"12_17_est_GP_param.csv","mu[5]",-1.220959887,12,17,330
"12_18_est_GP_param.csv","alpha",3.275640809,12,18,330
"12_18_est_GP_param.csv","rho",2.067704982,12,18,330
"12_18_est_GP_param.csv","sigma",2.991994215,12,18,330
"12_18_est_GP_param.csv","mu[1]",-1.634443025,12,18,330
"12_18_est_GP_param.csv","mu[2]",0.656126629,12,18,330
"12_18_est_GP_param.csv","mu[3]",-2.936398575,12,18,330
"12_18_est_GP_param.csv","mu[4]",4.323811697,12,18,330
"12_18_est_GP_param.csv","mu[5]",2.343128988,12,18,330
"12_19_est_GP_param.csv","alpha",2.776110523,12,19,330
"12_19_est_GP_param.csv","rho",2.325957101,12,19,330
"12_19_est_GP_param.csv","sigma",2.880800138,12,19,330
"12_19_est_GP_param.csv","mu[1]",0.00468274,12,19,330
"12_19_est_GP_param.csv","mu[2]",-2.741091973,12,19,330
"12_19_est_GP_param.csv","mu[3]",-0.574808051,12,19,330
"12_19_est_GP_param.csv","mu[4]",-2.898295245,12,19,330
"12_19_est_GP_param.csv","mu[5]",1.242398306,12,19,330
"12_2_est_GP_param.csv","alpha",2.373988724,12,2,330
"12_2_est_GP_param.csv","rho",1.758982861,12,2,330
"12_2_est_GP_param.csv","sigma",2.859639074,12,2,330
"12_2_est_GP_param.csv","mu[1]",-2.496778872,12,2,330
"12_2_est_GP_param.csv","mu[2]",-1.220356394,12,2,330
"12_2_est_GP_param.csv","mu[3]",-1.393146346,12,2,330
"12_2_est_GP_param.csv","mu[4]",2.697327796,12,2,330
"12_2_est_GP_param.csv","mu[5]",-1.6703823,12,2,330
"12_20_est_GP_param.csv","alpha",1.829826932,12,20,330
"12_20_est_GP_param.csv","rho",0.209825211,12,20,330
"12_20_est_GP_param.csv","sigma",2.712959102,12,20,330
"12_20_est_GP_param.csv","mu[1]",0.560289761,12,20,330
"12_20_est_GP_param.csv","mu[2]",2.212294231,12,20,330
"12_20_est_GP_param.csv","mu[3]",-0.882745022,12,20,330
"12_20_est_GP_param.csv","mu[4]",3.960543203,12,20,330
"12_20_est_GP_param.csv","mu[5]",1.990556058,12,20,330
"12_3_est_GP_param.csv","alpha",1.646564667,12,3,330
"12_3_est_GP_param.csv","rho",-0.604134879,12,3,330
"12_3_est_GP_param.csv","sigma",2.583791449,12,3,330
